Release_Rule,WLN,Shop_Flow,Shop_Length,Human_Variability,Absenteeism_Level,Downtime_Level,Worker_Flexibility,Avg_GTT,Avg_SFT,Avg_Tardiness,Avg_Tardy_Percentage
HUMAN_CENTRIC,1600,directed,variable,1,none,none,flat,18149.04124184526,338.61951476934803,16848.1338550304,0.5235427420370137
HUMAN_CENTRIC,1700,directed,variable,1,none,none,flat,10412.884063912401,369.34618137368153,9072.988931650045,0.5479897033586664
HUMAN_CENTRIC,1800,directed,variable,1,none,none,flat,3562.523387095052,398.29611477129794,2214.5098435772943,0.5532676812891674
HUMAN_CENTRIC,2000,directed,variable,1,none,none,flat,7200.433967590489,423.81818650096506,6184.760412175679,0.2443900216425561
HUMAN_CENTRIC,2100,directed,variable,1,none,none,flat,3450.0016081118692,440.52571069239576,2462.106722041612,0.2393305439330544
HUMAN_CENTRIC,0,directed,variable,1,none,none,flat,952.9414385914745,712.7538978269791,97.99591926154554,0.2068203172497651
HUMAN_CENTRIC,1600,directed,variable,1.07,none,none,flat,18623.129028709067,374.80554292558287,17133.810918753043,0.6345693025602219
HUMAN_CENTRIC,1700,directed,variable,1.07,none,none,flat,11186.882633019031,410.7599887499854,9649.98415879498,0.6715418177348983
HUMAN_CENTRIC,1800,directed,variable,1.07,none,none,flat,4945.401623029638,452.91015713843984,3299.999912142645,0.7700703805320291
HUMAN_CENTRIC,2000,directed,variable,1.07,none,none,flat,7906.686327609753,491.971748908544,6437.444568362771,0.5803988603988604
HUMAN_CENTRIC,2100,directed,variable,1.07,none,none,flat,4231.282184958837,508.985003711604,2809.666380435814,0.5324935904581429
HUMAN_CENTRIC,0,directed,variable,1.07,none,none,flat,1493.244221639513,1253.0822254385043,353.45222530666996,0.3691286307053942
WL_DIRECT,1600,directed,variable,1,none,none,flat,1061.446600325033,535.0498100776106,81.39135448794,0.21140418929402638
WL_DIRECT,1700,directed,variable,1,none,none,flat,1004.4727003855049,552.5511912523552,67.88733039106013,0.19572441293752768
WL_DIRECT,1800,directed,variable,1,none,none,flat,1000.5155986425765,576.26963215347,72.36259633578004,0.1965353110471552
WL_DIRECT,2000,directed,variable,1,none,none,flat,973.8987510594051,607.511048516363,70.31327072196966,0.19706858407079647
WL_DIRECT,2100,directed,variable,1,none,none,flat,959.4132843175275,619.4077252391714,69.10953616530735,0.19246931328099082
WL_DIRECT,0,directed,variable,1,none,none,flat,952.3281121735741,712.1746564982466,94.43011428485323,0.20002210799756812
WL_DIRECT,1600,directed,variable,1.07,none,none,flat,2000.1361350118882,640.5609408061532,574.5300278802042,0.5222714681440443
WL_DIRECT,1700,directed,variable,1.07,none,none,flat,1849.5704534147064,672.2438388748939,487.2701230965547,0.4901428729648909
WL_DIRECT,1800,directed,variable,1.07,none,none,flat,1720.0530583567713,701.8667290266973,402.7695215152807,0.4591706803963904
WL_DIRECT,2000,directed,variable,1.07,none,none,flat,1612.1977556553968,757.8520166598123,355.3760868481196,0.42253599114064233
WL_DIRECT,2100,directed,variable,1.07,none,none,flat,1580.6187386689614,788.9875523462774,337.5757616677193,0.4135829824950144
WL_DIRECT,0,directed,variable,1.07,none,none,flat,1488.5260241832193,1248.3692549726509,351.6036330065011,0.361091130415537
